Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
IT	101	Abbigliamento e accessori				Cappotti, giacche e gilet			63862	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Cappotti, giacche e gilet [63862]	Cappotti, giacche e gilet	Fashion		Francesca Contessotto	Green	Outerwear	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63862
IT	101	Abbigliamento e accessori				Completi e set			260011	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Completi e set [260011]	Completi e set	Fashion		Francesca Contessotto	Green	One-Piece & Set	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_260011
IT	101	Abbigliamento e accessori				Gonne			63864	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Gonne [63864]	Gonne	Fashion		Francesca Contessotto	Green	Skirt	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63864
IT	101	Abbigliamento e accessori				Jeans			11554	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Jeans [11554]	Jeans	Fashion		Francesca Contessotto	Green	Pants	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11554
IT	101	Abbigliamento e accessori				Leggings			169001	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Leggings [169001]	Leggings	Fashion		Francesca Contessotto	Green	Pants	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_169001
IT	101	Abbigliamento e accessori				Maglioni e cardigan			63866	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Maglioni e cardigan [63866]	Maglioni e cardigan	Fashion		Francesca Contessotto	Green	Sweater	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63866
IT	101	Abbigliamento e accessori				Mare e piscina			63867	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Mare e piscina [63867]	Mare e piscina	Fashion		Francesca Contessotto	Green	Swimwear	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63867
IT	101	Abbigliamento e accessori				Pantaloni			63863	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Pantaloni [63863]	Pantaloni	Fashion		Francesca Contessotto	Green	Pants	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63863
IT	101	Abbigliamento e accessori				Pantaloncini			11555	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Pantaloncini [11555]	Pantaloncini	Fashion		Francesca Contessotto	Green	Shorts	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11555
IT	101	Abbigliamento e accessori				Tailleur,abiti sartoriali,spezzati			63865	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Tailleur,abiti sartoriali,spezzati [63865]	Tailleur,abiti sartoriali,spezzati	Fashion		Francesca Contessotto	Green	Suit	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63865
IT	101	Abbigliamento e accessori				T-shirt, maglie e camicie			53159	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > T-shirt, maglie e camicie [53159]	T-shirt, maglie e camicie	Fashion		Francesca Contessotto	Green	Shirt	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_53159
IT	101	Abbigliamento e accessori				Tute intere e tutine			3009	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Tute intere e tutine [3009]	Tute intere e tutine	Fashion		Francesca Contessotto	Green	One-Piece & Set	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_3009
IT	101	Abbigliamento e accessori				Vestiti			63861	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Abbigliamento [15724] > Vestiti [63861]	Vestiti	Fashion		Francesca Contessotto	Green	Dress	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_63861
IT	101	Abbigliamento e accessori			Borse e borsette				169291	3	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Borse e borsette [169291]	Borse e borsette	Fashion		Francesca Contessotto	Green	Handbag	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES		FC 2022	Fashion FC - Handbags 2022				N		101_169291
IT	101	Abbigliamento e accessori			Scarpe				3034	3	No	Abbigliamento e accessori [11450] > Donna [260010] > Scarpe [3034]	Scarpe	Fashion		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		101_3034
IT	101	Abbigliamento e accessori				Pantofole			11632	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Scarpe [3034] > Pantofole [11632]	Pantofole	Fashion		Francesca Contessotto	Green	Shoes	CSA Batch 2	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_11632
IT	101	Abbigliamento e accessori				Sandali			62107	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Scarpe [3034] > Sandali [62107]	Sandali	Fashion		Francesca Contessotto	Green	Shoes	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_62107
IT	101	Abbigliamento e accessori				Scarpe basse			45333	4	Yes	Abbigliamento e accessori [11450] > Donna [260010] > Scarpe [3034] > Scarpe basse [45333]	Scarpe basse	Fashion		Francesca Contessotto	Green	Shoes	CSA Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		101_45333
