Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
AU	15	Food & Drinks			Longlife Dairy Alternatives				257941	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Longlife Dairy Alternatives [257941]	Longlife Dairy Alternatives	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_257941
AU	15	Food & Drinks			Squash, Cordials & Syrups				179189	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Squash, Cordials & Syrups [179189]	Squash, Cordials & Syrups	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_179189
AU	15	Food & Drinks			Tea & Infusions				38181	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Tea & Infusions [38181]	Tea & Infusions	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_38181
AU	15	Food & Drinks			Water				48318	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Water [48318]	Water	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_48318
AU	15	Food & Drinks		Fresh Food & Chilled Drinks					258859	2	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859]	Fresh Food & Chilled Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_258859
AU	15	Food & Drinks			Bakery				258858	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Bakery [258858]	Bakery	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_258858
AU	15	Food & Drinks				Bread			258865	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Bakery [258858] > Bread [258865]	Bread	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258865
AU	15	Food & Drinks				Cakes & Tarts			258866	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Bakery [258858] > Cakes & Tarts [258866]	Cakes & Tarts	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258866
AU	15	Food & Drinks				Pastries & Donuts			258867	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Bakery [258858] > Pastries & Donuts [258867]	Pastries & Donuts	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258867
AU	15	Food & Drinks			Eggs & Dairy				258868	3	No	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868]	Eggs & Dairy	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					AU							N		15_258868
AU	15	Food & Drinks				Eggs			258869	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Eggs [258869]	Eggs	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258869
AU	15	Food & Drinks				Dairy Milk			258870	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Dairy Milk [258870]	Dairy Milk	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258870
AU	15	Food & Drinks				Non Dairy Milk & Substitutes			258871	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Non Dairy Milk & Substitutes [258871]	Non Dairy Milk & Substitutes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258871
AU	15	Food & Drinks				Flavoured Milk & Iced Coffee			258880	4	Yes	Food & Drinks [14308] > Fresh Food & Chilled Drinks [258859] > Eggs & Dairy [258868] > Flavoured Milk & Iced Coffee [258880]	Flavoured Milk & Iced Coffee	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	AU		AU							N		15_258880
