Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Arte y antigüedades			Cristal y vidrio				98931	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > Cristal y vidrio [98931]	Cristal y vidrio	Collectibles		Francesca Contessotto	Green					ES							N		186_98931
ES	186	Arte y antigüedades			Figuras				63526	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > Figuras [63526]	Figuras	Collectibles		Francesca Contessotto	Green					ES							N		186_63526
ES	186	Arte y antigüedades			Jarras, fuentes y soperas				25	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > Jarras, fuentes y soperas [25]	Jarras, fuentes y soperas	Collectibles		Francesca Contessotto	Green					IT|ES							N		186_25
ES	186	Arte y antigüedades			La Cartuja, Talavera y Manises				98632	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > La Cartuja, Talavera y Manises [98632]	La Cartuja, Talavera y Manises	Collectibles		Francesca Contessotto	Green					ES							N		186_98632
ES	186	Arte y antigüedades			Platos, tazas, juegos té/café				63525	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > Platos, tazas, juegos té/café [63525]	Platos, tazas, juegos té/café	Collectibles		Francesca Contessotto	Green			Big4 Aligned		US|UK|AU|DE|ES							N		186_63525
ES	186	Arte y antigüedades			Otras				86	3	Yes	Arte y antigüedades [353] > Cerámica y porcelana [870] > Otras [86]	Otras	Collectibles		Francesca Contessotto	Green					IT|ES							N	Y	186_86
ES	186	Arte y antigüedades		Directamente del artista					20158	2	Yes	Arte y antigüedades [353] > Directamente del artista [20158]	Directamente del artista	Collectibles		Francesca Contessotto	Green			Big4 Aligned		US|UK|AU|DE|ES							N		186_20158
ES	186	Arte y antigüedades		Esculturas y tallas					72178	2	Yes	Arte y antigüedades [353] > Esculturas y tallas [72178]	Esculturas y tallas	Collectibles		Francesca Contessotto	Green					ES							N		186_72178
ES	186	Arte y antigüedades		Forjados: hierro, bronce...					1211	2	No	Arte y antigüedades [353] > Forjados: hierro, bronce... [1211]	Forjados: hierro, bronce...	Collectibles		Francesca Contessotto	Green					UK|DE|ES							N		186_1211
ES	186	Arte y antigüedades			Llaves antiguas				3557	3	Yes	Arte y antigüedades [353] > Forjados: hierro, bronce... [1211] > Llaves antiguas [3557]	Llaves antiguas	Collectibles		Francesca Contessotto	Green					US|UK|AU|ES							N		186_3557
ES	186	Arte y antigüedades			Planchas				98638	3	Yes	Arte y antigüedades [353] > Forjados: hierro, bronce... [1211] > Planchas [98638]	Planchas	Collectibles		Francesca Contessotto	Green					ES							N		186_98638
