Cat ID,Label,Path
416,Other Astronaut & Space Travel Collectibles,"[1, 259135, 13902, 416]"
417,Transportation Collectibles,"[1, 417]"
418,Other Automobilia,"[1, 417, 14024, 418]"
419,Other Aviation Collectibles,"[1, 417, 14049, 419]"
420,Other Bike Collectibles,"[1, 417, 35959, 420]"
421,Other Collectible License Plates,"[1, 417, 14024, 14030, 421]"
423,Other Boat & Ship Collectibles,"[1, 417, 14052, 423]"
426,Other World's Fair Collectibles,"[1, 259135, 165513, 13879, 4162, 426]"
427,Other Magic Collectibles,"[1, 10860, 14012, 427]"
428,Golf Fan Apparel & Souvenirs,"[64482, 24409, 428]"
429,Horse Racing Fan Apparel & Souvenirs,"[64482, 24409, 429]"
430,Tennis Fan Apparel & Souvenirs,"[64482, 24409, 430]"
432,Other Beatles Memorabilia,"[45100, 2329, 108765, 104673, 29924, 432]"
433,Other Elvis Presley Memorabilia,"[45100, 2329, 108765, 104985, 4710, 433]"
434,Other KISS Memorabilia,"[45100, 2329, 108765, 104930, 29906, 434]"
435,Other Michael Jackson Memorabilia,"[45100, 2329, 108765, 104762, 104957, 435]"
436,Stuffed Animals,"[220, 436]"
437,Beanbag Plush Accessories,"[220, 49019, 437]"
438,Current Original Beanie Babies,"[220, 49019, 19203, 19205, 438]"
439,Disney Beanbag Plushies,"[220, 49019, 439]"
440,Retired Original Beanie Babies,"[220, 49019, 19203, 19205, 440]"
441,Ty Teenie Beanies,"[220, 49019, 19203, 441]"
445,Other Rolling Stones Memorabilia,"[45100, 2329, 108765, 105025, 29923, 445]"
447,Other Grateful Dead Memorabilia,"[45100, 2329, 108765, 104743, 29904, 447]"
465,Other Sports Fan Apparel & Souvenirs,"[64482, 24409, 465]"
475,"Other Collectible Knives, Swords & Blades","[1, 1401, 475]"
476,Collectible Refrigerator Magnets,"[1, 13905, 261694, 476]"
477,Other Collectible Matchbooks,"[1, 124, 156496, 477]"
491,Loose Diamonds & Gemstones,"[281, 491]"
494,"Other Jewelry Care, Design & Repair","[281, 164352, 494]"
518,Other Masonic & Freemason Collectibles,"[1, 259135, 402, 50188, 518]"
524,US Coin Errors,"[11116, 253, 524]"
525,US Coin Collections & Lots,"[11116, 253, 525]"
526,US Coin Mint Sets,"[11116, 253, 526]"
527,US Gold Coins Mixed Lots,"[11116, 253, 39467, 527]"
528,US Colonial Coins,"[11116, 253, 528]"
529,US Commemorative Coins Mixed Lots,"[11116, 253, 15903, 529]"
530,US Coin & Paper Money Publications,"[11116, 83274, 82190, 530]"
531,Other Coin & Paper Money Publications & Supplies,"[11116, 83274, 531]"
532,Other Ancient Coins,"[11116, 4733, 532]"
533,Other African Coins,"[11116, 256, 127144, 533]"
534,Other Asian Coins,"[11116, 256, 40711, 534]"
535,Other Australian Coins,"[11116, 256, 45991, 45142, 535]"
536,Other Canadian Coins,"[11116, 3377, 536]"
537,Other North & Central American Coins,"[11116, 256, 45145, 537]"
538,Other UK Coins,"[11116, 256, 45148, 3394, 538]"
539,France Coins,"[11116, 256, 45148, 539]"
542,Other South American Coins,"[11116, 256, 45160, 542]"
543,World Coin Errors,"[11116, 256, 543]"
544,World Coin Collections & Lots,"[11116, 256, 544]"
545,World Mint & Proof Coin Sets,"[11116, 256, 545]"
546,World Commemorative Coins,"[11116, 256, 546]"
547,World Gold Coins,"[11116, 256, 547]"
548,World Coin & Paper Money Publications,"[11116, 83274, 82190, 548]"
550,Art,[550]
551,Art Paintings,"[550, 551]"
552,Art Drawings,"[550, 552]"
553,Art Sculptures,"[550, 553]"
554,Mixed Media Art & Collage Art,"[550, 554]"
556,Collectible Calendars (1960-1979),"[1, 124, 41183, 556]"
562,Breweriana & Beer Collectibles,"[1, 562]"
563,Collectible Glass Beer Bottles,"[1, 562, 563]"
564,Other Collectible US Beer Cans,"[1, 562, 3915, 564]"
565,Collectible Beer Coasters,"[1, 562, 565]"
566,Collectible Beer Openers,"[1, 562, 566]"
567,Collectible Beer Labels,"[1, 562, 567]"
568,Pre-Prohibition Beer Collectibles,"[1, 562, 568]"
569,Other Collectible Beer Signs & Tins,"[1, 562, 50737, 569]"
570,Other Collectible Vintage Beer Drinkware & Steins,"[1, 562, 3920, 570]"
571,Other Collectible Beer Tap Handles & Knobs,"[1, 562, 35730, 571]"
572,Collectible Beer Trays,"[1, 562, 572]"
573,Other Casino Collectibles,"[1, 898, 573]"
580,Collectible Open Salts,"[1, 13905, 261667, 580]"
582,Other Collectible Maps & Atlases,"[1, 417, 1412, 20284, 582]"
583,Military Original Period Items (1903-1913),"[1, 13956, 156387, 583]"
584,Other Original WW1 US Collectibles,"[1, 13956, 13962, 156389, 134, 584]"
585,Other WW2 Original US Collectibles,"[1, 13956, 13977, 156417, 4716, 585]"
586,Original Korean Military Period Items (1950-1953),"[1, 13956, 156440, 586]"
587,Other Original Vietnam War Collectibles,"[1, 13956, 36060, 156444, 587]"
588,Other Military Surplus Collectibles,"[1, 13956, 36075, 588]"
591,Godzilla Collectibles,"[1, 152, 591]"
593,Tobacciana,"[1, 593]"
594,Collectible Tobacco Ashtrays,"[1, 593, 594]"
595,Other Collectible Lighters,"[1, 593, 951, 595]"
596,Other Collectible Tobacco Pipes,"[1, 593, 4118, 596]"
597,"Vanity, Perfume & Shaving Collectibles","[1, 597]"
598,"Other Vanity, Perfume & Shaving Collectibles","[1, 597, 598]"
599,Collectible Vanity Accessories,"[1, 597, 599]"
600,Collectible Cosmetic Compacts (Unknown Date),"[1, 597, 35979, 600]"
601,Collectible Hatpins,"[1, 597, 601]"
602,Other Perfume Collectibles,"[1, 597, 35982, 602]"
605,Collectible Sewing Machines,"[1, 113, 605]"
606,Other Collectible & Vintage Sewing Patterns (1930-Now),"[1, 113, 4157, 606]"
617,DVDs & Blu-ray Discs,"[11232, 617]"
618,Other Music Formats,"[11233, 618]"
619,Musical Instruments & Gear,[619]
620,Other Brass Instruments,"[619, 16212, 620]"
621,Other Guitars,"[619, 3858, 621]"
622,Other Percussion Instruments,"[619, 180012, 622]"
623,Other String Instruments,"[619, 180016, 623]"
624,Other Wind & Woodwind Instruments,"[619, 10181, 624]"
625,Cameras & Photo,[625]
629,Other Darkroom & Developing Equipment,"[625, 69323, 182077, 629]"
630,Other Golf Items,"[888, 1513, 630]"
631,Tools & Workshop Equipment,"[11700, 631]"
632,Other Power Tools,"[11700, 631, 3247, 632]"
675,Used US Stamps (19th Century),"[260, 261, 675]"
676,Unused US Stamps (19th Century),"[260, 261, 676]"
678,Used US Stamps (1901-Now),"[260, 261, 678]"
679,Unused US Stamps (1941-Now),"[260, 261, 679]"
680,US Back of Book Air Mail Stamps,"[260, 261, 47141, 680]"
681,Other US Back of Book Stamps,"[260, 261, 47141, 681]"
682,US Postal Stamp Plate Blocks & Multiples,"[260, 261, 682]"
683,US Stamp Collections & Lots,"[260, 261, 683]"
684,Other US Event Stamp Covers,"[260, 261, 47147, 139772, 684]"
685,US Back of Book Duck Stamps,"[260, 261, 47141, 685]"
686,"US Stamp Errors, Freaks & Oddities","[260, 261, 686]"
687,US First Day Covers (2001-Now),"[260, 261, 47147, 139779, 687]"
688,US Possessions Stamps,"[260, 261, 688]"
689,US Postal History Covers,"[260, 261, 47147, 689]"
690,US Revenue Stamps,"[260, 261, 47141, 690]"
691,US Back of Book Postal Cards & Stationery,"[260, 261, 47141, 691]"
698,"Worldwide Stamp Errors, Freaks, Oddities","[260, 181420, 698]"
699,Other European Stamps,"[260, 4742, 699]"
700,Worldwide First Day Covers,"[260, 181420, 700]"
701,Postal Stamp Publications,"[260, 181421, 701]"
703,Other Topical Postal Stamps,"[260, 4752, 703]"
705,Other Postal Stamp Publications & Supplies,"[260, 181421, 705]"
711,Other Vintage & Movie Photography Equipment,"[625, 3326, 711]"
713,US Native American Collectibles,"[1, 3913, 713]"
714,US Native American Masks & Headdresses (1935-Now),"[1, 3913, 713, 13749, 714]"
715,US Native American Artifacts (Pre-1600),"[1, 3913, 713, 13742, 715]"
716,Other US Native American Collectibles (Pre-1600),"[1, 3913, 713, 13742, 716]"
717,Vintage & Antique Toys,"[220, 717]"
719,Battery Operated Toys (Pre-1970),"[220, 19071, 19072, 719]"
720,Other Vintage & Antique Cap Guns,"[220, 717, 2660, 720]"
721,Vintage & Antique Cast Iron Toys,"[220, 717, 721]"
722,Vintage & Antique Celluloid Toys,"[220, 717, 722]"
723,Vintage & Antique Character Toys,"[220, 717, 723]"
725,Vintage & Antique Paper Toys,"[220, 717, 725]"
726,Pedal Cars (Pre-1970),"[220, 11743, 19021, 726]"
727,Vintage & Antique Play Sets,"[220, 717, 727]"
728,Vintage & Antique Pull Toys,"[220, 717, 728]"
729,Pretend Play Puppets (Pre-1970),"[220, 19169, 19180, 729]"
730,Other Vintage Puzzles,"[220, 2613, 19188, 730]"
732,Ride-Ons & Tricycles (Pre-1970),"[220, 11743, 19023, 732]"
733,Space Toys (Pre-1970),"[220, 19192, 19200, 733]"
734,Toy Soldiers (Pre-1970),"[220, 2631, 734]"
735,Vintage & Antique Tin Toys,"[220, 717, 735]"
736,Other Vintage & Antique Tin Toys,"[220, 717, 735, 736]"
740,Vintage Manufacture Diecast Construction Equipment,"[220, 222, 180274, 740]"
741,Vintage Manufacture Diecast Farm Vehicles,"[220, 222, 180275, 741]"
742,Vintage Manufacture Diecast Motorcycles & ATVs,"[220, 222, 180276, 742]"
747,Godzilla Toys,"[220, 19192, 19193, 747]"
750,Star Trek Collectible Action Figures,"[1, 152, 29493, 750]"
767,Fast Food Premiums,"[220, 19077, 767]"
776,Other Slot Cars,"[220, 2616, 776]"
778,Other Theater Memorabilia,"[45100, 2362, 778]"
780,Other Hockey Fan Apparel & Souvenirs,"[64482, 24409, 780]"
781,Warner Bros. Stuffed Animals,"[220, 436, 781]"
785,Babylon 5 Collectibles,"[1, 152, 785]"
786,Other US Coins,"[11116, 253, 786]"
793,Other Vintage Fishing Equipment,"[888, 1492, 180001, 793]"
795,Collectible Insulators,"[1, 29797, 795]"
796,Collectible Advertising Characters & Dolls,"[1, 34, 13623, 796]"
797,Collectible Advertising Clocks,"[1, 34, 13623, 797]"
798,Collectible Advertising Store Displays,"[1, 34, 13623, 798]"
799,Collectible Advertising Labels,"[1, 34, 13623, 799]"
800,"Collectible Advertising Premiums, Prizes & Charms","[1, 34, 13623, 800]"
801,Collectible Advertising Tins,"[1, 34, 13623, 801]"
802,Other Victorian Trade Cards,"[1, 34, 13623, 37842, 802]"
803,Collectible Advertising Trays,"[1, 34, 13623, 803]"
804,Original Advertising Signs (1970-Now),"[1, 34, 13623, 10804, 37840, 804]"
805,Airline Collectibles,"[1, 417, 14049, 805]"
806,Other Airline Collectibles,"[1, 417, 14049, 805, 806]"
807,American Airlines Collectibles,"[1, 417, 14049, 805, 807]"
808,Braniff Airlines Collectibles,"[1, 417, 14049, 805, 808]"
809,Delta Airlines Collectibles,"[1, 417, 14049, 805, 809]"
810,Eastern Airlines Collectibles,"[1, 417, 14049, 805, 810]"
811,Pan Am Airlines Collectibles,"[1, 417, 14049, 805, 811]"
812,Piedmont Airlines Collectibles,"[1, 417, 14049, 805, 812]"
813,TWA Airlines Collectibles,"[1, 417, 14049, 805, 813]"
817,Collectible Dairy Advertising,"[1, 34, 13587, 817]"
818,Other Dairy Advertising,"[1, 34, 13587, 817, 818]"
820,Collectible Distillery Advertising,"[1, 34, 13587, 820]"
821,Other Distillery Advertising Merchandise,"[1, 34, 13587, 820, 35656, 821]"
822,Jack Daniel's Advertising Collectibles,"[1, 34, 13587, 820, 822]"
823,Jim Beam Advertising,"[1, 34, 13587, 820, 823]"
825,Old Crow Advertising,"[1, 34, 13587, 820, 825]"
827,Collectible Agriculture Advertising,"[1, 34, 827]"
828,Other Collectible Agriculture Advertising,"[1, 34, 827, 828]"
829,Other John Deere Advertising,"[1, 34, 827, 35627, 829]"
830,Allis Chalmers Agriculture Advertising,"[1, 34, 827, 830]"
831,International Harvester Advertising,"[1, 34, 827, 831]"
832,Phillips 66 Advertising,"[1, 34, 39, 156204, 832]"
833,Shell Gas & Oil Advertising,"[1, 34, 39, 156204, 833]"
834,Mobil Gas & Oil Advertising,"[1, 34, 39, 156204, 834]"
835,Pennzoil Advertising,"[1, 34, 39, 156204, 835]"
